,0
-1.0,"rgb(127.0, 59.0, 8.0)"
-0.99,"rgb(127.0, 59.0, 8.0)"
-0.98,"rgb(127.0, 59.0, 8.0)"
-0.97,"rgb(127.0, 59.0, 8.0)"
-0.96,"rgb(127.0, 59.0, 8.0)"
-0.95,"rgb(127.0, 59.0, 8.0)"
-0.94,"rgb(127.0, 59.0, 8.0)"
-0.93,"rgb(127.0, 59.0, 8.0)"
-0.92,"rgb(127.0, 59.0, 8.0)"
-0.91,"rgb(127.0, 59.0, 8.0)"
-0.9,"rgb(127.0, 59.0, 8.0)"
-0.89,"rgb(127.0, 59.0, 8.0)"
-0.88,"rgb(127.0, 59.0, 8.0)"
-0.87,"rgb(127.0, 59.0, 8.0)"
-0.86,"rgb(127.0, 59.0, 8.0)"
-0.85,"rgb(127.0, 59.0, 8.0)"
-0.84,"rgb(127.0, 59.0, 8.0)"
-0.83,"rgb(127.0, 59.0, 8.0)"
-0.82,"rgb(127.0, 59.0, 8.0)"
-0.81,"rgb(127.0, 59.0, 8.0)"
-0.8,"rgb(127.0, 59.0, 8.0)"
-0.79,"rgb(127.0, 59.0, 8.0)"
-0.78,"rgb(127.0, 59.0, 8.0)"
-0.77,"rgb(127.0, 59.0, 8.0)"
-0.76,"rgb(127.0, 59.0, 8.0)"
-0.75,"rgb(127.0, 59.0, 8.0)"
-0.74,"rgb(127.0, 59.0, 8.0)"
-0.73,"rgb(127.0, 59.0, 8.0)"
-0.72,"rgb(127.0, 59.0, 8.0)"
-0.71,"rgb(127.0, 59.0, 8.0)"
-0.7,"rgb(127.0, 59.0, 8.0)"
-0.69,"rgb(127.0, 59.0, 8.0)"
-0.68,"rgb(127.0, 59.0, 8.0)"
-0.67,"rgb(127.0, 59.0, 8.0)"
-0.66,"rgb(127.0, 59.0, 8.0)"
-0.65,"rgb(127.0, 59.0, 8.0)"
-0.64,"rgb(127.0, 59.0, 8.0)"
-0.63,"rgb(127.0, 59.0, 8.0)"
-0.62,"rgb(127.0, 59.0, 8.0)"
-0.61,"rgb(127.0, 59.0, 8.0)"
-0.6,"rgb(127.0, 59.0, 8.0)"
-0.59,"rgb(127.0, 59.0, 8.0)"
-0.58,"rgb(127.0, 59.0, 8.0)"
-0.57,"rgb(127.0, 59.0, 8.0)"
-0.56,"rgb(127.0, 59.0, 8.0)"
-0.55,"rgb(127.0, 59.0, 8.0)"
-0.54,"rgb(127.0, 59.0, 8.0)"
-0.53,"rgb(127.0, 59.0, 8.0)"
-0.52,"rgb(127.0, 59.0, 8.0)"
-0.51,"rgb(127.0, 59.0, 8.0)"
-0.5,"rgb(127.0, 59.0, 8.0)"
-0.49,"rgb(127.0, 59.0, 8.0)"
-0.48,"rgb(127.0, 59.0, 8.0)"
-0.47,"rgb(127.0, 59.0, 8.0)"
-0.46,"rgb(127.0, 59.0, 8.0)"
-0.45,"rgb(127.0, 59.0, 8.0)"
-0.44,"rgb(127.0, 59.0, 8.0)"
-0.43,"rgb(127.0, 59.0, 8.0)"
-0.42,"rgb(127.0, 59.0, 8.0)"
-0.41,"rgb(127.0, 59.0, 8.0)"
-0.4,"rgb(127.0, 59.0, 8.0)"
-0.39,"rgb(127.0, 59.0, 8.0)"
-0.38,"rgb(127.0, 59.0, 8.0)"
-0.37,"rgb(127.0, 59.0, 8.0)"
-0.36,"rgb(127.0, 59.0, 8.0)"
-0.35,"rgb(127.0, 59.0, 8.0)"
-0.34,"rgb(127.0, 59.0, 8.0)"
-0.33,"rgb(127.0, 59.0, 8.0)"
-0.32,"rgb(127.0, 59.0, 8.0)"
-0.31,"rgb(127.0, 59.0, 8.0)"
-0.3,"rgb(127.0, 59.0, 8.0)"
-0.29,"rgb(135.15686274509804, 63.54901960784314, 7.686274509803921)"
-0.28,"rgb(143.31372549019608, 68.09803921568628, 7.372549019607843)"
-0.27,"rgb(151.47058823529412, 72.64705882352942, 7.058823529411764)"
-0.26,"rgb(161.66666666666666, 78.33333333333334, 6.666666666666666)"
-0.25,"rgb(169.8235294117647, 82.88235294117648, 6.352941176470587)"
-0.24,"rgb(177.98039215686273, 87.43137254901961, 6.039215686274509)"
-0.23,"rgb(185.1764705882353, 93.76470588235294, 7.92156862745098)"
-0.22,"rgb(194.0, 101.99999999999999, 10.666666666666664)"
-0.21,"rgb(201.05882352941174, 108.58823529411765, 12.862745098039216)"
-0.2,"rgb(208.1176470588235, 115.17647058823529, 15.058823529411763)"
-0.19,"rgb(215.1764705882353, 121.76470588235294, 17.254901960784313)"
-0.18,"rgb(224.0, 130.0, 20.0)"
-0.17,"rgb(228.54901960784312, 138.4705882352941, 32.39215686274509)"
-0.16,"rgb(233.09803921568627, 146.94117647058823, 44.784313725490186)"
-0.15,"rgb(238.7843137254902, 157.52941176470588, 60.274509803921546)"
-0.14,"rgb(243.33333333333331, 165.99999999999997, 72.66666666666663)"
-0.13,"rgb(247.88235294117646, 174.4705882352941, 85.05882352941173)"
-0.12,"rgb(252.43137254901958, 182.94117647058818, 97.45098039215681)"
-0.11,"rgb(253.1764705882353, 191.05882352941177, 113.64705882352936)"
-0.1,"rgb(253.33333333333334, 197.33333333333331, 126.66666666666664)"
-0.09,"rgb(253.49019607843138, 203.6078431372549, 139.6862745098039)"
-0.08,"rgb(253.64705882352942, 209.88235294117644, 152.70588235294116)"
-0.07,"rgb(253.84313725490196, 217.72549019607843, 168.9803921568627)"
-0.06,"rgb(254.0, 224.0, 182.0)"
-0.05,"rgb(252.90196078431373, 227.6078431372549, 192.19607843137254)"
-0.04,"rgb(251.80392156862746, 231.21568627450978, 202.3921568627451)"
-0.03,"rgb(250.4313725490196, 235.72549019607843, 215.13725490196077)"
-0.02,"rgb(249.33333333333331, 239.33333333333334, 225.33333333333331)"
-0.01,"rgb(248.23529411764704, 242.94117647058823, 235.52941176470588)"
0.0,"rgb(246.39215686274508, 246.4313725490196, 246.76470588235296)"
0.01,"rgb(241.5294117647059, 241.8823529411765, 244.8823529411765)"
0.02,"rgb(236.66666666666669, 237.33333333333334, 243.0)"
0.03,"rgb(231.80392156862746, 232.7843137254902, 241.11764705882354)"
0.04,"rgb(225.72549019607845, 227.0980392156863, 238.76470588235296)"
0.05,"rgb(220.86274509803923, 222.54901960784315, 236.88235294117646)"
0.06,"rgb(216.00000000000003, 218.00000000000003, 235.00000000000003)"
0.07,"rgb(210.03921568627453, 210.62745098039218, 231.07843137254903)"
0.08,"rgb(202.58823529411768, 201.4117647058824, 226.1764705882353)"
0.09,"rgb(196.62745098039218, 194.03921568627453, 222.2549019607843)"
0.1,"rgb(190.66666666666669, 186.6666666666667, 218.33333333333334)"
0.11,"rgb(184.70588235294122, 179.29411764705884, 214.41176470588238)"
0.12,"rgb(177.01960784313732, 169.90196078431376, 209.25490196078434)"
0.13,"rgb(169.17647058823533, 161.11764705882356, 203.29411764705884)"
0.14,"rgb(161.33333333333334, 152.33333333333337, 197.33333333333337)"
0.15,"rgb(151.5294117647059, 141.3529411764706, 189.8823529411765)"
0.16,"rgb(143.68627450980398, 132.56862745098044, 183.92156862745102)"
0.17,"rgb(135.84313725490196, 123.78431372549021, 177.96078431372553)"
0.18,"rgb(128.0, 115.0, 172.0)"
0.19,"rgb(119.37254901960785, 100.09803921568628, 164.94117647058826)"
0.2,"rgb(112.47058823529412, 88.17647058823529, 159.29411764705884)"
0.21,"rgb(105.5686274509804, 76.25490196078432, 153.64705882352942)"
0.22,"rgb(98.66666666666667, 64.33333333333333, 148.0)"
0.23,"rgb(90.03921568627452, 49.431372549019606, 140.94117647058823)"
0.24,"rgb(83.23529411764706, 38.23529411764706, 134.80392156862743)"
0.25,"rgb(77.11764705882352, 32.117647058823536, 125.23529411764706)"
0.26,"rgb(71.0, 26.000000000000004, 115.66666666666667)"
0.27,"rgb(63.35294117647059, 18.35294117647059, 103.70588235294117)"
0.28,"rgb(57.235294117647065, 12.23529411764706, 94.13725490196077)"
0.29,"rgb(51.11764705882353, 6.117647058823526, 84.5686274509804)"
0.3,"rgb(45.0, 0.0, 75.0)"
0.31,"rgb(45.0, 0.0, 75.0)"
0.32,"rgb(45.0, 0.0, 75.0)"
0.33,"rgb(45.0, 0.0, 75.0)"
0.34,"rgb(45.0, 0.0, 75.0)"
0.35,"rgb(45.0, 0.0, 75.0)"
0.36,"rgb(45.0, 0.0, 75.0)"
0.37,"rgb(45.0, 0.0, 75.0)"
0.38,"rgb(45.0, 0.0, 75.0)"
0.39,"rgb(45.0, 0.0, 75.0)"
0.4,"rgb(45.0, 0.0, 75.0)"
0.41,"rgb(45.0, 0.0, 75.0)"
0.42,"rgb(45.0, 0.0, 75.0)"
0.43,"rgb(45.0, 0.0, 75.0)"
0.44,"rgb(45.0, 0.0, 75.0)"
0.45,"rgb(45.0, 0.0, 75.0)"
0.46,"rgb(45.0, 0.0, 75.0)"
0.47,"rgb(45.0, 0.0, 75.0)"
0.48,"rgb(45.0, 0.0, 75.0)"
0.49,"rgb(45.0, 0.0, 75.0)"
0.5,"rgb(45.0, 0.0, 75.0)"
0.51,"rgb(45.0, 0.0, 75.0)"
0.52,"rgb(45.0, 0.0, 75.0)"
0.53,"rgb(45.0, 0.0, 75.0)"
0.54,"rgb(45.0, 0.0, 75.0)"
0.55,"rgb(45.0, 0.0, 75.0)"
0.56,"rgb(45.0, 0.0, 75.0)"
0.57,"rgb(45.0, 0.0, 75.0)"
0.58,"rgb(45.0, 0.0, 75.0)"
0.59,"rgb(45.0, 0.0, 75.0)"
0.6,"rgb(45.0, 0.0, 75.0)"
0.61,"rgb(45.0, 0.0, 75.0)"
0.62,"rgb(45.0, 0.0, 75.0)"
0.63,"rgb(45.0, 0.0, 75.0)"
0.64,"rgb(45.0, 0.0, 75.0)"
0.65,"rgb(45.0, 0.0, 75.0)"
0.66,"rgb(45.0, 0.0, 75.0)"
0.67,"rgb(45.0, 0.0, 75.0)"
0.68,"rgb(45.0, 0.0, 75.0)"
0.69,"rgb(45.0, 0.0, 75.0)"
0.7,"rgb(45.0, 0.0, 75.0)"
0.71,"rgb(45.0, 0.0, 75.0)"
0.72,"rgb(45.0, 0.0, 75.0)"
0.73,"rgb(45.0, 0.0, 75.0)"
0.74,"rgb(45.0, 0.0, 75.0)"
0.75,"rgb(45.0, 0.0, 75.0)"
0.76,"rgb(45.0, 0.0, 75.0)"
0.77,"rgb(45.0, 0.0, 75.0)"
0.78,"rgb(45.0, 0.0, 75.0)"
0.79,"rgb(45.0, 0.0, 75.0)"
0.8,"rgb(45.0, 0.0, 75.0)"
0.81,"rgb(45.0, 0.0, 75.0)"
0.82,"rgb(45.0, 0.0, 75.0)"
0.83,"rgb(45.0, 0.0, 75.0)"
0.84,"rgb(45.0, 0.0, 75.0)"
0.85,"rgb(45.0, 0.0, 75.0)"
0.86,"rgb(45.0, 0.0, 75.0)"
0.87,"rgb(45.0, 0.0, 75.0)"
0.88,"rgb(45.0, 0.0, 75.0)"
0.89,"rgb(45.0, 0.0, 75.0)"
0.9,"rgb(45.0, 0.0, 75.0)"
0.91,"rgb(45.0, 0.0, 75.0)"
0.92,"rgb(45.0, 0.0, 75.0)"
0.93,"rgb(45.0, 0.0, 75.0)"
0.94,"rgb(45.0, 0.0, 75.0)"
0.95,"rgb(45.0, 0.0, 75.0)"
0.96,"rgb(45.0, 0.0, 75.0)"
0.97,"rgb(45.0, 0.0, 75.0)"
0.98,"rgb(45.0, 0.0, 75.0)"
0.99,"rgb(45.0, 0.0, 75.0)"
1.0,"rgb(45.0, 0.0, 75.0)"
